公司简称,A股代码,所属行业,
天原集团,002386,C制造业,
维信诺,002387,C制造业,
新亚制程,002388,C制造业,
航天彩虹,002389,C制造业,
信邦制药,002390,C制造业,
长青股份,002391,C制造业,
北京利尔,002392,C制造业,
力生制药,002393,C制造业,
联发股份,002394,C制造业,
双象股份,002395,C制造业,
星网锐捷,002396,C制造业,
梦洁股份,002397,C制造业,
建研集团,002398,M科研服务,
海普瑞,002399,C制造业,
省广集团,002400,L商务服务,
中远海科,002401,I信息技术,
和而泰,002402,C制造业,
爱仕达,002403,C制造业,
嘉欣丝绸,002404,C制造业,
四维图新,002405,I信息技术,
远东传动,002406,C制造业,
多氟多,002407,C制造业,
齐翔腾达,002408,C制造业,
雅克科技,002409,C制造业,
广联达,002410,I信息技术,
延安必康,002411,C制造业,
汉森制药,002412,C制造业,
雷科防务,002413,C制造业,
高德红外,002414,C制造业,
海康威视,002415,C制造业,
爱施德,002416,F批发零售,
深南股份,002417,C制造业,
康盛股份,002418,C制造业,
天虹股份,002419,F批发零售,
毅昌股份,002420,C制造业,
达实智能,002421,I信息技术,
科伦药业,002422,C制造业,
中原特钢,002423,C制造业,
贵州百灵,002424,C制造业,
凯撒文化,002425,I信息技术,
胜利精密,002426,C制造业,
*ST尤夫,002427,C制造业,
云南锗业,002428,C制造业,
兆驰股份,002429,C制造业,
杭氧股份,002430,C制造业,
棕榈股份,002431,E建筑业,
九安医疗,002432,C制造业,
太安堂,002433,C制造业,
万里扬,002434,C制造业,
长江润发,002435,C制造业,
兴森科技,002436,C制造业,
誉衡药业,002437,C制造业,
江苏神通,002438,C制造业,
启明星辰,002439,I信息技术,
闰土股份,002440,C制造业,
众业达,002441,F批发零售,
龙星化工,002442,C制造业,
